segment_id,area_m2,east,north,b4,b3,b2,b8,ndvi,ndvi_change,ratio_rg_change,brightness,brightness_change,gndvi,slope_max,slope_mean,nd_std,height_mean,height_min,height_max,Type
L0_S1,17900.0,312661.2011173184,131768.01675977654,546.7821229050278,897.1731843575418,944.2011173184359,3058.5530726256984,0.6934842667100151,0.0753029918443807,0.5341682285902887,0.7960521402305731,-0.14379476048260428,0.5425561857956082,43.19801330566406,27.588178155142497,0.051713050317081656,1266.1620111731845,1191.0,1329.0,0.0
L0_S12,54800.0,314277.3905109489,131602.75547445257,590.4452554744526,930.8832116788319,959.5857664233577,3077.003649635037,0.6771098866949986,-0.12801274959759334,0.2707991080399412,0.8269714107261087,-0.005415642081751797,0.5345819119880669,26.35165596008301,13.395944277517989,0.02620694325917339,1038.985401459854,1004.0,1078.0,0.0
L0_S210,16400.0,315188.5975609756,131301.21951219512,806.6463414634146,1082.5792682926829,1086.628048780488,2972.0487804878053,0.5696806089907158,0.03025005429893698,0.5109160564294676,0.9919512195558082,-0.2054997711419696,0.4611501223066958,36.18342208862305,14.654994063261077,0.1189556243806714,807.8231707317073,791.0,873.0,0.0
L0_S223,8200.0,315548.41463414626,131315.73170731706,1116.8048780487804,1219.8170731707314,1228.7560975609756,2597.5,0.3999925635573341,-0.0567520539341608,0.4142576281617327,1.1884593563835797,-0.09693342308718256,0.35763035605593424,10.729084014892578,6.3698482687880364,0.11602756117538708,748.0,739.0,754.0,0.0
L0_S308,400.0,314450.0,131170.0,846.75,1122.0,1082.0,3610.0,0.6200220733880997,0.13724013976752758,0.6387811154127121,1.0169166624546049,-0.29238811880350113,0.5254677832126617,31.465822219848636,31.465822219848636,0.04401295818388462,1017.0,1017.0,1017.0,0.0
L0_S408,20500.0,314758.60975609755,130815.78048780488,548.1170731707317,908.4,955.8926829268293,3325.5219512195117,0.7154847575397026,0.04177438480802244,0.5102473828850723,0.8041365835724807,-0.14115751596485696,0.5692723239340434,17.448585510253903,12.536484451410248,0.04737279335173165,908.8585365853661,889.0,930.0,0.0
L0_S459,17000.0,317047.8823529412,130730.9411764706,583.5235294117648,931.9117647058824,977.5588235294116,3385.558823529412,0.7039337813854217,0.03123131511794568,0.5582750898950241,0.8309980388949899,-0.2143902847872061,0.5660329471616184,6.65853214263916,4.671657295788036,0.03806892448269269,648.6411764705882,643.0,654.0,0.0
L0_S501,117600.0,313306.7602040817,130347.38945578232,1442.7857142857142,1506.7474489795916,1461.0102040816328,2794.6284013605436,0.3232095247121895,0.4471104573205012,0.8541772209462666,1.4701811225235868,-0.8139682674058237,0.2959204700642398,38.53942489624024,11.357191773701686,0.19240849063459306,1043.094387755102,946.0,1208.0,1.0
L0_S527,300000.0,314894.0533333333,129416.72,1985.4323333333332,1887.064333333333,1783.4416666666666,2878.058,0.19587997098080812,0.4869454604987756,0.8547814856966337,1.8853127774794896,-1.1322875792092333,0.21299168768028415,20.27982521057129,6.312886173228423,0.17867552723021554,792.2139999999999,691.0,950.0,1.0
L0_S783,21900.0,313867.14611872146,129876.09589041096,577.1278538812785,892.4794520547945,959.6940639269408,3023.785388127854,0.6785159671687644,0.040152903638788616,0.4893028804156334,0.8097671237710404,-0.13117952842146294,0.5430882190732651,18.047025680541992,11.096560926742203,0.033726029259633264,1082.662100456621,1061.0,1099.0,0.0
L0_S797,12200.0,316195.2459016393,129953.19672131148,629.0491803278687,995.1065573770493,1003.2540983606557,3225.606557377049,0.6726617612799661,0.002414119075869256,0.4197478243073479,0.8758032786064459,-0.08124305628484389,0.5275376996055978,13.910819053649902,8.10821665896744,0.03949730499784966,760.0327868852459,745.0,767.0,0.0
L0_S846,13700.0,317186.9708029197,129822.29927007301,578.2116788321168,948.7153284671533,980.102189781022,3669.7664233576643,0.7225173609535189,0.057073512236948,0.5423599986264306,0.8356763977203926,-0.1526643934584882,0.5841834658253802,10.459335327148438,4.0037102037972785,0.060242579855623035,634.2554744525548,629.0,647.0,0.0
